eventID,sampleID,measurementID,measurementType,measurementValue,measurementUnit,Unnamed: 6
MPO-OPANO-BOTTOMTRAWL-1988-09-21T18:17Z,MPO-OPANO-BOTTOMTRAWL-1988-15499,MPO-OPANO-BOTTOMTRAWL-1988-OTHER-00178,total weight,26.25,kg,
MPO-OPANO-BOTTOMTRAWL-1988-09-22T04:42Z,MPO-OPANO-BOTTOMTRAWL-1988-15530,MPO-OPANO-BOTTOMTRAWL-1988-OTHER-00180,total weight,8.235294118,kg,
MPO-OPANO-BOTTOMTRAWL-1988-09-23T11:35Z,MPO-OPANO-BOTTOMTRAWL-1988-15649,MPO-OPANO-BOTTOMTRAWL-1988-OTHER-00182,total weight,6.176470588,kg,
MPO-OPANO-BOTTOMTRAWL-1988-09-23T11:35Z,MPO-OPANO-BOTTOMTRAWL-1988-15650,MPO-OPANO-BOTTOMTRAWL-1988-OTHER-00184,total weight,1.029411765,kg,
MPO-OPANO-BOTTOMTRAWL-1988-09-23T13:35Z,MPO-OPANO-BOTTOMTRAWL-1988-15659,MPO-OPANO-BOTTOMTRAWL-1988-OTHER-00186,total weight,3.088235294,kg,
MPO-OPANO-BOTTOMTRAWL-1988-09-24T01:11Z,MPO-OPANO-BOTTOMTRAWL-1988-15735,MPO-OPANO-BOTTOMTRAWL-1988-OTHER-00188,total weight,1.029411765,kg,
MPO-OPANO-BOTTOMTRAWL-1988-09-24T12:55Z,MPO-OPANO-BOTTOMTRAWL-1988-15811,MPO-OPANO-BOTTOMTRAWL-1988-OTHER-00190,total weight,35,kg,
MPO-OPANO-BOTTOMTRAWL-1988-09-24T14:59Z,MPO-OPANO-BOTTOMTRAWL-1988-15821,MPO-OPANO-BOTTOMTRAWL-1988-OTHER-00192,total weight,9.84375,kg,
MPO-OPANO-BOTTOMTRAWL-1988-09-24T16:30Z,MPO-OPANO-BOTTOMTRAWL-1988-15832,MPO-OPANO-BOTTOMTRAWL-1988-OTHER-00194,total weight,10.69444444,kg,
MPO-OPANO-BOTTOMTRAWL-1988-09-24T19:45Z,MPO-OPANO-BOTTOMTRAWL-1988-15866,MPO-OPANO-BOTTOMTRAWL-1988-OTHER-00196,total weight,29.16666667,kg,
MPO-OPANO-BOTTOMTRAWL-1988-09-24T21:30Z,MPO-OPANO-BOTTOMTRAWL-1988-15883,MPO-OPANO-BOTTOMTRAWL-1988-OTHER-00198,total weight,10.5,kg,
MPO-OPANO-BOTTOMTRAWL-1988-09-24T23:21Z,MPO-OPANO-BOTTOMTRAWL-1988-15898,MPO-OPANO-BOTTOMTRAWL-1988-OTHER-00200,total weight,14.58333333,kg,
MPO-OPANO-BOTTOMTRAWL-1988-09-25T05:03Z,MPO-OPANO-BOTTOMTRAWL-1988-15934,MPO-OPANO-BOTTOMTRAWL-1988-OTHER-00202,total weight,12.35294118,kg,
MPO-OPANO-BOTTOMTRAWL-1988-09-25T17:43Z,MPO-OPANO-BOTTOMTRAWL-1988-15995,MPO-OPANO-BOTTOMTRAWL-1988-OTHER-00204,total weight,39.375,kg,
MPO-OPANO-BOTTOMTRAWL-1988-09-25T19:04Z,MPO-OPANO-BOTTOMTRAWL-1988-16014,MPO-OPANO-BOTTOMTRAWL-1988-OTHER-00206,total weight,47.03125,kg,
MPO-OPANO-BOTTOMTRAWL-1988-09-26T11:45Z,MPO-OPANO-BOTTOMTRAWL-1988-16107,MPO-OPANO-BOTTOMTRAWL-1988-OTHER-00208,total weight,29.16666667,kg,
MPO-OPANO-BOTTOMTRAWL-1988-09-26T13:50Z,MPO-OPANO-BOTTOMTRAWL-1988-16125,MPO-OPANO-BOTTOMTRAWL-1988-OTHER-00210,total weight,8.235294118,kg,
MPO-OPANO-BOTTOMTRAWL-1988-09-26T15:48Z,MPO-OPANO-BOTTOMTRAWL-1988-16142,MPO-OPANO-BOTTOMTRAWL-1988-OTHER-00212,total weight,28.19444444,kg,
MPO-OPANO-BOTTOMTRAWL-1988-09-26T19:08Z,MPO-OPANO-BOTTOMTRAWL-1988-16167,MPO-OPANO-BOTTOMTRAWL-1988-OTHER-00214,total weight,3.5,kg,
MPO-OPANO-BOTTOMTRAWL-1988-09-26T20:45Z,MPO-OPANO-BOTTOMTRAWL-1988-16185,MPO-OPANO-BOTTOMTRAWL-1988-OTHER-00216,total weight,24.0625,kg,
MPO-OPANO-BOTTOMTRAWL-1988-09-26T22:30Z,MPO-OPANO-BOTTOMTRAWL-1988-16201,MPO-OPANO-BOTTOMTRAWL-1988-OTHER-00218,total weight,5.46875,kg,
MPO-OPANO-BOTTOMTRAWL-1988-09-27T00:16Z,MPO-OPANO-BOTTOMTRAWL-1988-16223,MPO-OPANO-BOTTOMTRAWL-1988-OTHER-00220,total weight,25.27777778,kg,
MPO-OPANO-BOTTOMTRAWL-1988-09-27T09:22Z,MPO-OPANO-BOTTOMTRAWL-1988-16274,MPO-OPANO-BOTTOMTRAWL-1988-OTHER-00222,total weight,20.58823529,kg,
MPO-OPANO-BOTTOMTRAWL-1988-09-27T11:43Z,MPO-OPANO-BOTTOMTRAWL-1988-16289,MPO-OPANO-BOTTOMTRAWL-1988-OTHER-00224,total weight,12.63888889,kg,
MPO-OPANO-BOTTOMTRAWL-1988-09-27T13:52Z,MPO-OPANO-BOTTOMTRAWL-1988-16303,MPO-OPANO-BOTTOMTRAWL-1988-OTHER-00226,total weight,36.02941176,kg,
MPO-OPANO-BOTTOMTRAWL-1989-09-05T00:43Z,MPO-OPANO-BOTTOMTRAWL-1989-16486,MPO-OPANO-BOTTOMTRAWL-1989-OTHER-00228,total weight,2.333333333,kg,
MPO-OPANO-BOTTOMTRAWL-1989-09-05T03:11Z,MPO-OPANO-BOTTOMTRAWL-1989-16506,MPO-OPANO-BOTTOMTRAWL-1989-OTHER-00230,total weight,3.088235294,kg,
MPO-OPANO-BOTTOMTRAWL-1989-09-05T05:00Z,MPO-OPANO-BOTTOMTRAWL-1989-16521,MPO-OPANO-BOTTOMTRAWL-1989-OTHER-00232,total weight,3.088235294,kg,
MPO-OPANO-BOTTOMTRAWL-1989-09-05T07:02Z,MPO-OPANO-BOTTOMTRAWL-1989-16535,MPO-OPANO-BOTTOMTRAWL-1989-OTHER-00234,total weight,3.28125,kg,
MPO-OPANO-BOTTOMTRAWL-1989-09-05T21:21Z,MPO-OPANO-BOTTOMTRAWL-1989-16647,MPO-OPANO-BOTTOMTRAWL-1989-OTHER-00236,total weight,1.09375,kg,
MPO-OPANO-BOTTOMTRAWL-1989-09-05T23:08Z,MPO-OPANO-BOTTOMTRAWL-1989-16659,MPO-OPANO-BOTTOMTRAWL-1989-OTHER-00238,total weight,0.972222222,kg,
MPO-OPANO-BOTTOMTRAWL-1989-09-07T00:15Z,MPO-OPANO-BOTTOMTRAWL-1989-16711,MPO-OPANO-BOTTOMTRAWL-1989-OTHER-00240,total weight,1.944444444,kg,
MPO-OPANO-BOTTOMTRAWL-1989-09-07T04:55Z,MPO-OPANO-BOTTOMTRAWL-1989-16756,MPO-OPANO-BOTTOMTRAWL-1989-OTHER-00242,total weight,0.972222222,kg,
MPO-OPANO-BOTTOMTRAWL-1989-09-07T06:25Z,MPO-OPANO-BOTTOMTRAWL-1989-16770,MPO-OPANO-BOTTOMTRAWL-1989-OTHER-00244,total weight,1.842105263,kg,
MPO-OPANO-BOTTOMTRAWL-1989-09-07T06:25Z,MPO-OPANO-BOTTOMTRAWL-1989-16771,MPO-OPANO-BOTTOMTRAWL-1989-OTHER-00246,total weight,0.921052632,kg,
MPO-OPANO-BOTTOMTRAWL-1989-09-07T09:27Z,MPO-OPANO-BOTTOMTRAWL-1989-16789,MPO-OPANO-BOTTOMTRAWL-1989-OTHER-00248,total weight,1.944444444,kg,
MPO-OPANO-BOTTOMTRAWL-1989-09-07T18:48Z,MPO-OPANO-BOTTOMTRAWL-1989-16835,MPO-OPANO-BOTTOMTRAWL-1989-OTHER-00250,total weight,1.029411765,kg,
MPO-OPANO-BOTTOMTRAWL-1989-09-08T04:06Z,MPO-OPANO-BOTTOMTRAWL-1989-16928,MPO-OPANO-BOTTOMTRAWL-1989-OTHER-00252,total weight,6.730769231,kg,
MPO-OPANO-BOTTOMTRAWL-1989-09-08T18:50Z,MPO-OPANO-BOTTOMTRAWL-1989-16997,MPO-OPANO-BOTTOMTRAWL-1989-OTHER-00257,total weight,1.25,kg,
MPO-OPANO-BOTTOMTRAWL-1989-09-08T18:50Z,MPO-OPANO-BOTTOMTRAWL-1989-16998,MPO-OPANO-BOTTOMTRAWL-1989-OTHER-00259,total weight,13.75,kg,
MPO-OPANO-BOTTOMTRAWL-1989-09-10T06:12Z,MPO-OPANO-BOTTOMTRAWL-1989-17179,MPO-OPANO-BOTTOMTRAWL-1989-OTHER-00261,total weight,1.944444444,kg,
MPO-OPANO-BOTTOMTRAWL-1989-09-10T10:15Z,MPO-OPANO-BOTTOMTRAWL-1989-17212,MPO-OPANO-BOTTOMTRAWL-1989-OTHER-00263,total weight,1.029411765,kg,
